to_port
Alicante
Almeria
Amora
"Arenas del Mar"
Aveiro
Barcelona
Bilbao
Brasilien
Cadiz
Canet
"Cap de la Roche"
Carril
Cartagena
"El Ferrol"
Faro
Fayal
Figueira
Galicien
Gigon
"Gran Canaria"
Härnösand
Ibiza
København
"La Coruna"
Laranjeiro
Lissabon
London
Luarca
Mahon
Malaga
Marin
Memel
Oporto
"Palma de Mallorca"
Pontevedro
Portugal
Riwadeo
"S. Antonio"
"S. Lucar"
Salou
"San Fernando"
"San Sebastian"
Santander
Serantes
Setubal
Sevilla
Spanien
"St. Pedro"
Tarragona
Torrevieja
Valencia
Vianna
Vigo
"Villa de Conde"
"Villa Garcia"
Villafranca
Vivero
