product_std
Balks
Blocks
Boards
Boat hooks
Clapboards
Compass timber
Deals
French wood
Handspikes
Knees
Laths
Ledges
Other timber
Masts
Oars
Other ship timber
Planks
Pumps
Quartered timber
Rafters
Rods
Spars
Split wood
Staves
Treenails
Unprocessed or semi-processed timber
Wainscot
Wales
